date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:36:28	57223/57223	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:27%20GMT	https://www.w3schools.com/xml/xpath_syntax.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xpath_syntax.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:30	55337/55337	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:29%20GMT	https://www.w3schools.com/xml/xpath_axes.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xpath_axes.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:32	52254/52254	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:32%20GMT	https://www.w3schools.com/xml/xpath_operators.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xpath_operators.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:34	54056/54056	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:34%20GMT	https://www.w3schools.com/xml/xsl_languages.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xsl_languages.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:36	56173/56173	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:36%20GMT	https://www.w3schools.com/xml/xsl_transformation.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xsl_transformation.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:40	53680/53680	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:39%20GMT	https://www.w3schools.com/xml/xsl_templates.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xsl_templates.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:43	52934/52934	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:42%20GMT	https://www.w3schools.com/xml/xsl_value_of.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xsl_value_of.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:45	54750/54750	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:44%20GMT	https://www.w3schools.com/xml/xsl_for_each.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xsl_for_each.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:47	52682/52682	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:47%20GMT	https://www.w3schools.com/xml/xsl_sort.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xsl_sort.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:49	53653/53653	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:49%20GMT	https://www.w3schools.com/xml/xsl_if.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xsl_if.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:51	57393/57393	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:50%20GMT	https://www.w3schools.com/xml/xsl_choose.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xsl_choose.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:53	52790/52790	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:53%20GMT	https://www.w3schools.com/xml/xsl_apply_templates.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xsl_apply_templates.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:55	57234/57234	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:54%20GMT	https://www.w3schools.com/xml/xsl_client.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xsl_client.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:57	55550/55550	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:57%20GMT	https://www.w3schools.com/xml/xsl_server.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xsl_server.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:36:59	60899/60899	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:36:58%20GMT	https://www.w3schools.com/xml/xsl_editxml.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xsl_editxml.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:37:01	54761/54761	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:37:01%20GMT	https://www.w3schools.com/xml/xquery_example.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xquery_example.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:37:03	53287/53287	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:37:03%20GMT	https://www.w3schools.com/xml/xquery_flwor.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xquery_flwor.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:37:05	53049/53049	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:37:05%20GMT	https://www.w3schools.com/xml/xquery_flwor_html.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xquery_flwor_html.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:37:08	54902/54902	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:37:07%20GMT	https://www.w3schools.com/xml/xquery_terms.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xquery_terms.html	(from https://www.w3schools.com/xml/schema_intro.asp)
23:37:10	53242/53242	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202017%2022:37:09%20GMT	https://www.w3schools.com/xml/xquery_syntax.asp	C:/Users/anonymous/Desktop/xml_Schema/asd/www.w3schools.com/xml/xquery_syntax.html	(from https://www.w3schools.com/xml/schema_intro.asp)
